ma_giang_vien,ho_ten,khoa_bo_mon,ngay_sinh,noi_sinh,cccd,ngay_cap_cccd,noi_cap_cccd,dan_toc,ton_giao,so_dien_thoai,dia_chi_thuong_tru,tinh_thanh_pho,phuong_xa
80103,Lê Thị Chi,HTTT,1988-04-23,Tỉnh An Giang,092088413164,2013-02-16,Công an TP. Hồ Chí Minh,Nùng,Tin Lành,0375255341,"651 đường Lê Lợi, Xã Long Thạnh",Tỉnh An Giang,Xã Long Thạnh
80104,Hoàng Hữu Nam,HTTT,1984-07-09,Tỉnh Lâm Đồng,027184030564,2004-02-10,Công an tỉnh Long An,Hoa,Tin Lành,0943953767,"272 đường Lê Lợi, Phường Tiến Thành",Tỉnh Lâm Đồng,Phường Tiến Thành
80105,Hồ Thị Uyên,HTTT,1988-07-19,Tỉnh Nghệ An,092088287101,2011-10-14,Cục CS ĐKQL cư trú và DLQG về dân cư,Nùng,Không,0842691669,"542 đường Hai Bà Trưng, Xã Tiên Đồng",Tỉnh Nghệ An,Xã Tiên Đồng
80106,Đặng Thị Hằng,HTTT,1990-06-04,Tỉnh Tây Ninh,048090704828,2014-06-17,Công an tỉnh Đồng Nai,Kinh,Hòa Hảo,0834893252,"977 đường Cách Mạng Tháng 8, Phường Long An",Tỉnh Tây Ninh,Phường Long An
80107,Phạm Minh Thu,HTTT,1970-02-12,Tỉnh Đồng Tháp,092070039117,1994-01-08,Công an tỉnh Long An,Tày,Phật giáo,0948227824,"894 đường Cách Mạng Tháng 8, Xã Đồng Sơn",Tỉnh Đồng Tháp,Xã Đồng Sơn
80108,Lê Quang Thịnh,HTTT,1979-07-22,Tỉnh An Giang,040179713315,1998-03-15,Cục CS ĐKQL cư trú và DLQG về dân cư,Kinh,Công giáo,0909839301,"235 đường Nguyễn Trãi, Xã Hòn Đất",Tỉnh An Giang,Xã Hòn Đất
80109,Ngô Văn Lâm,HTTT,1978-11-16,Thành phố Hà Nội,048178997376,1997-06-20,Công an tỉnh Đồng Nai,Kinh,Cao Đài,0811165667,"690 đường Nguyễn Trãi, Xã Thanh Trì",Thành phố Hà Nội,Xã Thanh Trì
80110,Phạm Hữu Thịnh,HTTT,1977-04-07,Tỉnh Lào Cai,048177624731,1997-02-12,Công an tỉnh Bình Dương,Tày,Phật giáo,0378108013,"417 đường Điện Biên Phủ, Phường Cam Đường",Tỉnh Lào Cai,Phường Cam Đường
80111,Phạm Quang Quang,HTTT,1975-07-01,Tỉnh Lạng Sơn,033175468723,1994-01-17,Công an TP. Hồ Chí Minh,Nùng,Hòa Hảo,0323098050,"599 đường Điện Biên Phủ, Xã Mẫu Sơn",Tỉnh Lạng Sơn,Xã Mẫu Sơn
80112,Đỗ Văn Đạt,HTTT,1986-02-28,Tỉnh Lào Cai,058186136193,2007-01-27,Công an tỉnh Bình Dương,Hoa,Công giáo,0919169985,"210 đường Hai Bà Trưng, Xã Lâm Thượng",Tỉnh Lào Cai,Xã Lâm Thượng
80113,Huỳnh Minh Đạt,HTTT,1990-05-15,Tỉnh Hưng Yên,001190799118,2011-07-21,Công an tỉnh Đồng Nai,Nùng,Tin Lành,0818425135,"162 đường Điện Biên Phủ, Xã Trà Giang",Tỉnh Hưng Yên,Xã Trà Giang
80114,Phan Văn Hiếu,HTTT,1987-05-22,Tỉnh An Giang,024187118244,2006-05-30,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Không,0815348740,"650 đường Điện Biên Phủ, Xã Hòn Nghệ",Tỉnh An Giang,Xã Hòn Nghệ
80115,Huỳnh Thị Hồng,HTTT,1974-11-09,Tp Cần Thơ,040074680112,1996-04-19,Công an TP. Hồ Chí Minh,Khmer,Phật giáo,0915982620,"374 đường Nguyễn Trãi, Phường Hưng Phú",Tp Cần Thơ,Phường Hưng Phú
80116,Nguyễn Đức Thọ,HTTT,1981-09-28,Tỉnh Đồng Tháp,048181322602,2005-01-02,Công an tỉnh Đồng Nai,Tày,Công giáo,0336342160,"228 đường Lê Lợi, Xã Phú Hựu",Tỉnh Đồng Tháp,Xã Phú Hựu
80117,Hồ Văn Trung,HTTT,1977-01-22,Tỉnh Gia Lai,027177414586,1996-04-06,Công an tỉnh Đồng Nai,Khmer,Tin Lành,0330142940,"611 đường Điện Biên Phủ, Xã Kon Gang",Tỉnh Gia Lai,Xã Kon Gang
80118,Hồ Thị Thanh,HTTT,1989-09-04,Tỉnh Vĩnh Long,092089406088,2011-01-12,Công an tỉnh Đồng Nai,Mường,Cao Đài,0815615951,"520 đường Hai Bà Trưng, Xã Hưng Mỹ",Tỉnh Vĩnh Long,Xã Hưng Mỹ
80119,Phan Thị Xuân,HTTT,1979-09-05,Tỉnh Thanh Hóa,031079299468,2002-11-17,Công an tỉnh Long An,Mường,Phật giáo,0904436995,"453 đường Điện Biên Phủ, Xã Hoằng Hóa",Tỉnh Thanh Hóa,Xã Hoằng Hóa
80120,Đặng Thị Ly,HTTT,1975-11-03,Tỉnh Đồng Tháp,058075513433,1998-06-22,Công an tỉnh Bình Dương,Hoa,Tin Lành,0840037917,"908 đường Cách Mạng Tháng 8, Phường Sa Đéc",Tỉnh Đồng Tháp,Phường Sa Đéc
80121,Nguyễn Thu Anh,HTTT,1982-04-05,Tỉnh Tây Ninh,079082632870,2003-10-21,Công an tỉnh Long An,Nùng,Tin Lành,0821727889,"973 đường Điện Biên Phủ, Xã Mỹ Thạnh",Tỉnh Tây Ninh,Xã Mỹ Thạnh
80122,Phạm Thu Kim,HTTT,1987-08-06,Tỉnh Hà Tĩnh,033087434873,2011-08-22,Công an tỉnh Bình Dương,Hoa,Phật giáo,0887143455,"83 đường Lê Lợi, Xã Thạch Khê",Tỉnh Hà Tĩnh,Xã Thạch Khê
80123,Nguyễn Đức Vinh,HTTT,1976-02-14,Tỉnh Thanh Hóa,040176760366,1998-10-22,Công an tỉnh Bình Dương,Nùng,Phật giáo,0909670546,"552 đường Cách Mạng Tháng 8, Xã Yên Phú",Tỉnh Thanh Hóa,Xã Yên Phú
80124,Trần Văn Yên,HTTT,1978-07-16,Thành phố Hà Nội,027178627298,2001-09-14,Công an tỉnh Đồng Nai,Khmer,Cao Đài,0906990162,"187 đường Nguyễn Trãi, Xã Hồng Vân",Thành phố Hà Nội,Xã Hồng Vân
80125,Phạm Quang Sơn,HTTT,1984-06-11,Tp Hồ Chí Minh,031184417080,2009-05-25,Cục CS ĐKQL cư trú và DLQG về dân cư,Hoa,Cao Đài,0343100330,"157 đường Lê Lợi, Phường Tân Sơn Nhì",Tp Hồ Chí Minh,Phường Tân Sơn Nhì
80126,Lê Quang Khang,HTTT,1984-12-09,Tỉnh Đồng Tháp,058184912419,2005-08-25,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Hòa Hảo,0904966319,"105 đường Hai Bà Trưng, Xã Đốc Binh Kiều",Tỉnh Đồng Tháp,Xã Đốc Binh Kiều
80127,Lê Quang Đạt,HTTT,1981-09-14,Tỉnh Hà Tĩnh,040181506716,2005-09-22,Công an tỉnh Long An,Tày,Cao Đài,0347262849,"794 đường Điện Biên Phủ, Phường Hà Huy Tập",Tỉnh Hà Tĩnh,Phường Hà Huy Tập
80128,Hoàng Minh Hà,HTTT,1980-04-27,Tỉnh Sơn La,024080737996,2001-03-16,Công an tỉnh Đồng Nai,Nùng,Tin Lành,0330752735,"349 đường Hai Bà Trưng, Xã Mường Hung",Tỉnh Sơn La,Xã Mường Hung
80129,Nguyễn Minh Tùng,HTTT,1986-04-03,Tỉnh Thanh Hóa,033186837770,2009-07-19,Công an tỉnh Long An,Khmer,Cao Đài,0944363495,"567 đường Cách Mạng Tháng 8, Xã Thọ Phú",Tỉnh Thanh Hóa,Xã Thọ Phú
80130,Võ Thị Thu,HTTT,1981-12-15,Tp Hải Phòng,024081313518,2003-02-12,Công an tỉnh Đồng Nai,Khmer,Phật giáo,0853374989,"103 đường Lê Lợi, Xã Chí Minh",Tp Hải Phòng,Xã Chí Minh
80131,Phạm Hữu Hiếu,HTTT,1979-01-23,Tỉnh Đồng Tháp,024179008427,1999-02-12,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Cao Đài,0830947775,"989 đường Nguyễn Trãi, Phường Đạo Thạnh",Tỉnh Đồng Tháp,Phường Đạo Thạnh
80132,Phạm Văn Hùng,HTTT,1982-08-03,Tỉnh Đồng Tháp,048182941318,2005-07-16,Công an tỉnh Long An,Tày,Công giáo,0369993867,"305 đường Cách Mạng Tháng 8, Xã Tháp Mười",Tỉnh Đồng Tháp,Xã Tháp Mười
80133,Ngô Văn Minh,HTTT,1989-12-04,Tỉnh Khánh Hòa,024189123281,2010-07-05,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Cao Đài,0850679740,"296 đường Hai Bà Trưng, Xã Nam Khánh Vĩnh",Tỉnh Khánh Hòa,Xã Nam Khánh Vĩnh
80134,Hồ Văn Thắng,KHMT,1978-11-19,Tỉnh Tuyên Quang,079178832421,2002-02-15,Công an tỉnh Đồng Nai,Mường,Cao Đài,0912499471,"706 đường Hai Bà Trưng, Xã Đồng Yên",Tỉnh Tuyên Quang,Xã Đồng Yên
80135,Trần Thị Hằng,KHMT,1984-02-20,Tỉnh Lâm Đồng,027084940139,2005-03-30,Công an tỉnh Bình Dương,Tày,Tin Lành,0904902787,"186 đường Cách Mạng Tháng 8, Xã Krông Nô",Tỉnh Lâm Đồng,Xã Krông Nô
80136,Nguyễn Quang Việt,KHMT,1985-06-14,Tỉnh Quảng Ninh,079185256746,2009-03-17,Công an tỉnh Bình Dương,Mường,Hòa Hảo,0917154516,"845 đường Nguyễn Trãi, Xã Lương Minh",Tỉnh Quảng Ninh,Xã Lương Minh
80137,Đỗ Thị Vũ,KHMT,1971-04-17,Tỉnh Lâm Đồng,033071703482,1992-10-05,Cục CS ĐKQL cư trú và DLQG về dân cư,Nùng,Cao Đài,0327710932,"565 đường Nguyễn Trãi, Xã Di Linh",Tỉnh Lâm Đồng,Xã Di Linh
80138,Đặng Văn Hạnh,KHMT,1973-08-04,Tỉnh Lâm Đồng,024173846773,1992-05-11,Công an tỉnh Đồng Nai,Khmer,Hòa Hảo,0378263982,"283 đường Điện Biên Phủ, Phường Xuân Hương - Đà Lạt",Tỉnh Lâm Đồng,Phường Xuân Hương - Đà Lạt
80139,Nguyễn Hữu Hùng,KHMT,1979-12-10,Tỉnh Thanh Hóa,033179875588,2002-07-14,Công an tỉnh Bình Dương,Mường,Cao Đài,0357533963,"45 đường Hai Bà Trưng, Xã Nam Xuân",Tỉnh Thanh Hóa,Xã Nam Xuân
80140,Trần Thị Hoa,KHMT,1990-03-16,Tp Hải Phòng,040090951718,2011-12-27,Công an tỉnh Đồng Nai,Mường,Không,0370262174,"639 đường Điện Biên Phủ, Xã Vĩnh Thịnh",Tp Hải Phòng,Xã Vĩnh Thịnh
80141,Phạm Minh Lệ,KHMT,1980-11-23,Tỉnh Sơn La,040080091343,1999-05-26,Công an tỉnh Đồng Nai,Khmer,Công giáo,0946117240,"333 đường Nguyễn Trãi, Phường Vân Sơn",Tỉnh Sơn La,Phường Vân Sơn
80142,Ngô Thị Thanh,KHMT,1974-04-17,Tỉnh Đắk Lắk,048074221969,1995-02-21,Công an tỉnh Long An,Tày,Công giáo,0827923747,"683 đường Nguyễn Trãi, Xã Sơn Thành",Tỉnh Đắk Lắk,Xã Sơn Thành
80143,Hoàng Minh Thắng,KHMT,1972-08-12,Tỉnh Ninh Bình,024172743671,1995-01-15,Cục CS ĐKQL cư trú và DLQG về dân cư,Nùng,Tin Lành,0826959440,"282 đường Nguyễn Trãi, Phường Vị Khê",Tỉnh Ninh Bình,Phường Vị Khê
80144,Nguyễn Minh Tuyết,KHMT,1979-04-20,Tỉnh Gia Lai,092079394210,2000-12-13,Công an TP. Hồ Chí Minh,Hoa,Phật giáo,0327095214,"766 đường Điện Biên Phủ, Phường Hoài Nhơn Tây",Tỉnh Gia Lai,Phường Hoài Nhơn Tây
80145,Trần Minh Lan,KHMT,1986-09-09,Tỉnh Hưng Yên,024086745171,2007-08-23,Công an tỉnh Đồng Nai,Tày,Công giáo,0843685160,"550 đường Nguyễn Trãi, Xã Nguyễn Văn Linh",Tỉnh Hưng Yên,Xã Nguyễn Văn Linh
80146,Trần Thu Nhung,KHMT,1990-06-04,Tỉnh Nghệ An,033090098593,2011-10-28,Công an tỉnh Long An,Kinh,Phật giáo,0947461200,"505 đường Nguyễn Trãi, Xã Văn Hiến",Tỉnh Nghệ An,Xã Văn Hiến
80147,Phạm Hữu Tùng,KHMT,1982-08-12,Tỉnh Quảng Ninh,058182261796,2001-09-17,Công an tỉnh Đồng Nai,Nùng,Tin Lành,0880537735,"703 đường Hai Bà Trưng, Phường Tuần Châu",Tỉnh Quảng Ninh,Phường Tuần Châu
80148,Vũ Văn Toàn,KHMT,1982-05-07,Tỉnh Lai Châu,079182390053,2002-12-12,Công an tỉnh Đồng Nai,Nùng,Không,0849318393,"337 đường Lê Lợi, Xã Mường Khoa",Tỉnh Lai Châu,Xã Mường Khoa
80149,Đỗ Văn Hải,KHMT,1974-09-09,Tỉnh An Giang,001174205395,1993-05-22,Công an tỉnh Long An,Khmer,Hòa Hảo,0902402681,"488 đường Điện Biên Phủ, Xã Tân An",Tỉnh An Giang,Xã Tân An
80150,Lê Văn Huy,KHMT,1984-09-08,Tp Hải Phòng,024184700766,2003-05-31,Công an tỉnh Long An,Nùng,Tin Lành,0837711592,"130 đường Hai Bà Trưng, Phường Thuỷ Nguyên",Tp Hải Phòng,Phường Thuỷ Nguyên
80151,Đặng Thị Huệ,KHMT,1982-10-17,Thành phố Hà Nội,040082961183,2001-11-05,Công an tỉnh Đồng Nai,Khmer,Tin Lành,0367365766,"321 đường Điện Biên Phủ, Xã Minh Châu",Thành phố Hà Nội,Xã Minh Châu
80152,Lê Thị Hà,KHMT,1974-11-16,Tỉnh Đắk Lắk,079074161528,1997-08-09,Công an tỉnh Đồng Nai,Khmer,Hòa Hảo,0919885165,"889 đường Nguyễn Trãi, Xã Ea Na",Tỉnh Đắk Lắk,Xã Ea Na
80153,Phan Thị Hương,KHMT,1973-10-17,Tỉnh Cao Bằng,033073315851,1992-01-28,Công an tỉnh Đồng Nai,Kinh,Phật giáo,0889368998,"624 đường Hai Bà Trưng, Xã Hạnh Phúc",Tỉnh Cao Bằng,Xã Hạnh Phúc
80154,Huỳnh Thị Hương,KHMT,1980-06-01,Thành phố Hà Nội,058080612018,2002-01-15,Cục CS ĐKQL cư trú và DLQG về dân cư,Nùng,Không,0816675254,"796 đường Cách Mạng Tháng 8, Phường Tây Tựu",Thành phố Hà Nội,Phường Tây Tựu
80155,Huỳnh Văn Sơn,KHMT,1975-10-02,Tp Hồ Chí Minh,033175679764,1999-03-13,Công an tỉnh Bình Dương,Kinh,Phật giáo,0818156149,"540 đường Hai Bà Trưng, Phường Thủ Đức",Tp Hồ Chí Minh,Phường Thủ Đức
80156,Ngô Văn Hiếu,KHMT,1970-04-10,Tỉnh Đắk Lắk,024170451076,1989-01-25,Công an tỉnh Bình Dương,Tày,Không,0852683885,"407 đường Nguyễn Trãi, Phường Hòa Hiệp",Tỉnh Đắk Lắk,Phường Hòa Hiệp
80157,Hoàng Quang Tùng,KHMT,1980-10-14,Tỉnh Gia Lai,024180160529,2003-04-07,Công an tỉnh Đồng Nai,Tày,Công giáo,0375161369,"537 đường Nguyễn Trãi, Phường Hội Phú",Tỉnh Gia Lai,Phường Hội Phú
80158,Trần Hữu Hải,KHMT,1980-03-03,Tp Hải Phòng,040180835523,2000-02-22,Công an tỉnh Long An,Tày,Hòa Hảo,0832432921,"975 đường Điện Biên Phủ, Xã Yết Kiêu",Tp Hải Phòng,Xã Yết Kiêu
80159,Hoàng Thùy Thúy,KHMT,1988-11-21,Tỉnh Thanh Hóa,027088271774,2011-12-12,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Công giáo,0889058147,"39 đường Nguyễn Trãi, Xã Đồng Tiến",Tỉnh Thanh Hóa,Xã Đồng Tiến
80160,Phạm Quang Toàn,KHMT,1989-10-17,Tỉnh Tây Ninh,058189807935,2013-06-09,Công an tỉnh Bình Dương,Kinh,Phật giáo,0388207151,"662 đường Lê Lợi, Xã Phước Thạnh",Tỉnh Tây Ninh,Xã Phước Thạnh
80161,Huỳnh Thị Uyên,KTMT,1986-09-20,Tỉnh Thanh Hóa,027086466590,2011-06-19,Công an tỉnh Long An,Khmer,Không,0331518644,"895 đường Lê Lợi, Xã Văn Nho",Tỉnh Thanh Hóa,Xã Văn Nho
80162,Hoàng Quang Hiếu,KTMT,1981-05-21,Tỉnh Phú Thọ,058181148652,2001-05-24,Công an TP. Hồ Chí Minh,Khmer,Cao Đài,0391685054,"974 đường Lê Lợi, Xã Minh Hòa",Tỉnh Phú Thọ,Xã Minh Hòa
80163,Phạm Minh Giang,KTMT,1974-03-03,Tỉnh Lạng Sơn,040174880592,1996-10-05,Công an tỉnh Đồng Nai,Tày,Hòa Hảo,0352229270,"374 đường Lê Lợi, Xã Vũ Lăng",Tỉnh Lạng Sơn,Xã Vũ Lăng
80164,Đặng Thị Kim,KTMT,1977-09-08,Tỉnh Gia Lai,092077597746,1996-04-04,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Hòa Hảo,0398623924,"657 đường Điện Biên Phủ, Xã Ya Ma",Tỉnh Gia Lai,Xã Ya Ma
80165,Bùi Văn Sơn,KTMT,1979-02-25,Tp Hải Phòng,033179826137,2001-06-20,Công an tỉnh Đồng Nai,Hoa,Không,0340606853,"84 đường Hai Bà Trưng, Xã Cẩm Giang",Tp Hải Phòng,Xã Cẩm Giang
80166,Đặng Văn Hiếu,KTMT,1990-06-26,Tỉnh Nghệ An,001190472779,2014-05-22,Công an tỉnh Đồng Nai,Khmer,Phật giáo,0901043289,"434 đường Nguyễn Trãi, Xã Đại Đồng",Tỉnh Nghệ An,Xã Đại Đồng
80167,Phạm Đức Đạt,KTMT,1971-04-14,Tp Đà Nẵng,079171798089,1995-09-02,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Tin Lành,0822460953,"427 đường Lê Lợi, Xã Quế Sơn",Tp Đà Nẵng,Xã Quế Sơn
80168,Trần Thùy Ly,KTMT,1972-09-18,Tỉnh Hưng Yên,040072067065,1994-06-06,Công an tỉnh Đồng Nai,Khmer,Hòa Hảo,0880515319,"137 đường Nguyễn Trãi, Phường Trần Lãm",Tỉnh Hưng Yên,Phường Trần Lãm
80169,Đỗ Văn Hiếu,KTMT,1984-12-16,Tỉnh Ninh Bình,079184704303,2003-05-10,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Công giáo,0915486874,"772 đường Lê Lợi, Xã Lý Nhân",Tỉnh Ninh Bình,Xã Lý Nhân
80170,Đỗ Thị Hằng,KTMT,1978-02-26,Tỉnh Bắc Ninh,031078765277,1998-03-02,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Không,0348416169,"559 đường Hai Bà Trưng, Xã Hợp Thịnh",Tỉnh Bắc Ninh,Xã Hợp Thịnh
80171,Hoàng Thùy Hằng,KTMT,1979-05-15,Tỉnh Sơn La,048079757059,1997-09-14,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Cao Đài,0364016582,"147 đường Cách Mạng Tháng 8, Xã Mường Lạn",Tỉnh Sơn La,Xã Mường Lạn
80172,Lê Quang Xuân,KTMT,1972-04-25,Tỉnh Đồng Tháp,031172909275,1993-10-29,Cục CS ĐKQL cư trú và DLQG về dân cư,Hoa,Không,0347192856,"666 đường Hai Bà Trưng, Xã Tân Thạnh",Tỉnh Đồng Tháp,Xã Tân Thạnh
80173,Hoàng Hữu Hải,KTMT,1985-09-13,Tỉnh Đồng Nai,024185473947,2007-04-10,Công an tỉnh Long An,Mường,Không,0811217271,"684 đường Hai Bà Trưng, Xã An Phước",Tỉnh Đồng Nai,Xã An Phước
80174,Lê Thu Linh,KTMT,1979-03-23,Tỉnh Tây Ninh,027079831323,1998-08-31,Công an tỉnh Bình Dương,Kinh,Công giáo,0380589578,"627 đường Nguyễn Trãi, Xã Tân Lân",Tỉnh Tây Ninh,Xã Tân Lân
80175,Ngô Thị Thanh,KTMT,1986-07-25,Tỉnh Lâm Đồng,079086251778,2005-03-03,Công an tỉnh Đồng Nai,Nùng,Phật giáo,0342892268,"852 đường Nguyễn Trãi, Xã Quảng Hoà",Tỉnh Lâm Đồng,Xã Quảng Hoà
80176,Dương Văn Vương,KTMT,1975-06-23,Tỉnh Quảng Ninh,040175414384,1999-12-22,Công an tỉnh Long An,Mường,Hòa Hảo,0844981829,"158 đường Lê Lợi, Phường Hạ Long",Tỉnh Quảng Ninh,Phường Hạ Long
80177,Lê Minh Bích,KTMT,1988-01-27,Tỉnh Đắk Lắk,079088094396,2009-05-24,Công an TP. Hồ Chí Minh,Mường,Không,0907844736,"465 đường Nguyễn Trãi, Xã Krông Á",Tỉnh Đắk Lắk,Xã Krông Á
80178,Phan Thị Trang,KTMT,1983-08-15,Tỉnh Đồng Tháp,058083255562,2004-08-09,Cục CS ĐKQL cư trú và DLQG về dân cư,Hoa,Không,0348815371,"461 đường Lê Lợi, Phường Mỹ Phước Tây",Tỉnh Đồng Tháp,Phường Mỹ Phước Tây
80179,Vũ Thị Lan,KTMT,1982-10-14,Tỉnh Vĩnh Long,027082953278,2005-11-24,Công an tỉnh Đồng Nai,Hoa,Hòa Hảo,0377470168,"990 đường Lê Lợi, Xã Càng Long",Tỉnh Vĩnh Long,Xã Càng Long
80180,Hoàng Đức Thành,KTMT,1971-05-16,Tỉnh Đồng Nai,040171016245,1993-06-03,Công an tỉnh Long An,Kinh,Cao Đài,0355060983,"567 đường Hai Bà Trưng, Phường Biên Hoà",Tỉnh Đồng Nai,Phường Biên Hoà
80181,Hoàng Thùy Vũ,KTMT,1987-05-27,Tỉnh Hưng Yên,079087216558,2005-11-23,Công an tỉnh Bình Dương,Mường,Công giáo,0342398680,"40 đường Lê Lợi, Xã Quỳnh An",Tỉnh Hưng Yên,Xã Quỳnh An
80182,Hoàng Thị Thúy,MMTTT,1974-10-17,Tỉnh Tuyên Quang,058074526949,1992-12-19,Công an tỉnh Bình Dương,Mường,Không,0338887947,"378 đường Hai Bà Trưng, Xã Minh Quang",Tỉnh Tuyên Quang,Xã Minh Quang
80183,Nguyễn Thùy Phương,MMTTT,1990-01-20,Tp Cần Thơ,058090930972,2010-03-07,Công an TP. Hồ Chí Minh,Khmer,Cao Đài,0399623091,"20 đường Điện Biên Phủ, Phường Long Tuyền",Tp Cần Thơ,Phường Long Tuyền
80184,Hoàng Thu Vũ,MMTTT,1976-07-17,Tỉnh Tây Ninh,033076028385,2000-08-27,Công an TP. Hồ Chí Minh,Nùng,Cao Đài,0388652785,"363 đường Hai Bà Trưng, Xã Đức Hoà",Tỉnh Tây Ninh,Xã Đức Hoà
80185,Dương Văn Tuấn,MMTTT,1978-09-10,Tỉnh Tây Ninh,024178375758,1998-04-27,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Tin Lành,0884198665,"298 đường Nguyễn Trãi, Xã Phước Lý",Tỉnh Tây Ninh,Xã Phước Lý
80186,Phạm Thu Kim,MMTTT,1984-11-09,Tỉnh Thanh Hóa,092084384842,2005-06-15,Công an tỉnh Bình Dương,Tày,Công giáo,0839933083,"54 đường Nguyễn Trãi, Phường Ngọc Sơn",Tỉnh Thanh Hóa,Phường Ngọc Sơn
80187,Bùi Văn Tùng,MMTTT,1974-01-18,Tỉnh An Giang,033174734540,1992-06-10,Công an tỉnh Đồng Nai,Tày,Phật giáo,0949380262,"857 đường Điện Biên Phủ, Xã Bình Thạnh Đông",Tỉnh An Giang,Xã Bình Thạnh Đông
80188,Phan Văn Vinh,MMTTT,1970-05-19,Tỉnh Đồng Tháp,024170788728,1990-06-15,Công an TP. Hồ Chí Minh,Khmer,Hòa Hảo,0374315274,"15 đường Hai Bà Trưng, Xã Mỹ Đức Tây",Tỉnh Đồng Tháp,Xã Mỹ Đức Tây
80189,Trần Đức Hoàn,MMTTT,1989-11-13,Tp Hồ Chí Minh,027189161227,2011-07-21,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Hòa Hảo,0333046374,"310 đường Cách Mạng Tháng 8, Phường Nhiêu Lộc",Tp Hồ Chí Minh,Phường Nhiêu Lộc
80190,Vũ Thị Diệu,MMTTT,1990-06-23,Tỉnh Khánh Hòa,079090742684,2010-03-07,Công an tỉnh Long An,Khmer,Cao Đài,0834593327,"466 đường Cách Mạng Tháng 8, Xã Cà Ná",Tỉnh Khánh Hòa,Xã Cà Ná
80191,Phan Thị Oanh,MMTTT,1987-11-27,Tỉnh Hưng Yên,058087187851,2007-09-26,Công an TP. Hồ Chí Minh,Tày,Không,0830883982,"336 đường Cách Mạng Tháng 8, Xã Tiên Tiến",Tỉnh Hưng Yên,Xã Tiên Tiến
80192,Nguyễn Minh Diệu,MMTTT,1972-09-15,Tp Cần Thơ,033072286790,1991-07-07,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Tin Lành,0374064039,"47 đường Điện Biên Phủ, Xã Đông Phước",Tp Cần Thơ,Xã Đông Phước
80193,Phạm Minh Tùng,MMTTT,1972-08-02,Tỉnh Sơn La,048172265676,1994-12-24,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Phật giáo,0351825128,"542 đường Lê Lợi, Xã Chiềng Sại",Tỉnh Sơn La,Xã Chiềng Sại
80194,Phạm Hữu Thắng,MMTTT,1979-08-22,Tỉnh Gia Lai,040179633752,1999-12-09,Công an tỉnh Bình Dương,Nùng,Không,0883106903,"69 đường Nguyễn Trãi, Xã Vĩnh Sơn",Tỉnh Gia Lai,Xã Vĩnh Sơn
80195,Hoàng Quang Thịnh,MMTTT,1977-12-02,Tp Đà Nẵng,092177830284,1997-07-06,Công an tỉnh Đồng Nai,Hoa,Cao Đài,0829599534,"677 đường Cách Mạng Tháng 8, Phường Tam Kỳ",Tp Đà Nẵng,Phường Tam Kỳ
80196,Phạm Minh Linh,MMTTT,1971-09-19,Tp Hải Phòng,031071870568,1995-01-05,Công an TP. Hồ Chí Minh,Khmer,Tin Lành,0336624628,"247 đường Lê Lợi, Xã Tân Kỳ",Tp Hải Phòng,Xã Tân Kỳ
80197,Ngô Thị Như,MMTTT,1971-09-14,Thành phố Hà Nội,040071263435,1993-12-01,Cục CS ĐKQL cư trú và DLQG về dân cư,Nùng,Không,0947518304,"690 đường Cách Mạng Tháng 8, Phường Xuân Đỉnh",Thành phố Hà Nội,Phường Xuân Đỉnh
80198,Hoàng Hữu Minh,MMTTT,1988-12-22,Tỉnh Gia Lai,033188354033,2010-07-27,Công an tỉnh Long An,Tày,Cao Đài,0837393638,"795 đường Hai Bà Trưng, Xã Vĩnh Thịnh",Tỉnh Gia Lai,Xã Vĩnh Thịnh
80199,Trần Thùy Lệ,MMTTT,1979-05-12,Tỉnh Thái Nguyên,033079175355,2003-11-24,Công an TP. Hồ Chí Minh,Khmer,Phật giáo,0360932048,"594 đường Điện Biên Phủ, Xã Phúc Lộc",Tỉnh Thái Nguyên,Xã Phúc Lộc
80200,Trần Minh Oanh,MMTTT,1977-07-19,Tỉnh Bắc Ninh,033077854777,1996-03-11,Cục CS ĐKQL cư trú và DLQG về dân cư,Kinh,Tin Lành,0855228728,"537 đường Nguyễn Trãi, Xã Tân Dĩnh",Tỉnh Bắc Ninh,Xã Tân Dĩnh
80201,Dương Văn Đạt,KTTT,1983-03-27,Tp Hồ Chí Minh,048183038750,2001-05-29,Cục CS ĐKQL cư trú và DLQG về dân cư,Nùng,Công giáo,0387008860,"543 đường Hai Bà Trưng, Xã Phú Giáo",Tp Hồ Chí Minh,Xã Phú Giáo
